Expr1000,ITEMDESCRIPTION,ITEMUNITE,ITEMSPECIFICATIONNO,ITEMBASICRATE,LABOURRATE
I No:1-05 / Pg No:13,"Taking the trial pit for roads, alignment, C.D. Works in Hard murum, including stacking the excavated material including all lifts and necessary back filling upto depth 3.0 meters",Cu.Mt.,As directed by Engineer in charge,706,706
I No:1-06 / Pg No:13,"Taking the trial pit for roads, alignment, C.D. Works in Hard murum, and Boulders including stacking the excavated material including all lifts and necessary back filling upto depth 1.5 meters",Cu.Mt.,As directed by Engineer in charge,780,780
I No:1-07 / Pg No:13,"Taking the trial pit for roads, alignment, C.D. Works in Hard murum, and Boulders including stacking the excavated material including all lifts and necessary back filling upto depth 3.0 meters",Cu.Mt.,As directed by Engineer in charge,984,984
I No:1-08 / Pg No:13,"Fixing survey pegs in earth and all sorts Soil, Sand, Gravel, Soft Murum, etc. including conveying, fixing etc. complete.",No.,As directed by Engineer in charge,12,12
I No:1-09 / Pg No:13,Reconnaisance Survey of Road alignment in plain  country including taking three dimensions of apexes verification of type of land etc. alongwith the alignment etc. complete (Without Chaining).,Km.,As directed by Engineer in charge,2121,1998
I No:1-10 / Pg No:13,Reconnaisance Survey of Road alignment in plain  country including taking three dimensions of apexes verification of type of land etc. alongwith the alignment etc. complete (With Chaining).,Km.,As directed by Engineer in charge,5414,4801
I No:1-11 / Pg No:13,"Reconnaissance Survey of a  road alignment for new hilly road utilising exsisting forest cart tracks with use of ghat tracer (if found necessary), taking three dimensions of apexes including verification of type of land etc. complete. (Without Chaining)",Km.,As directed by Engineer in charge,5711,4848
I No:1-12 / Pg No:14,"Reconnaissance Survey of   road alignment for new hilly road utilising exsisting forest cart tracks with use of ghat tracer (if found necessary), taking three dimensions of apexes including verification of type of land etc. complete. (With Chaining)",Km.,As directed by Engineer in charge,5516,4717
I No:1-13 / Pg No:14,"Reconnaissance Survey of  road alignment in hilly road utilising exsisting forest cart tracks with use of ghat tracer (if found necessary), taking three dimensions of apexes including verification of type of land etc. complete. (Without Chaining) .",Km.,As directed by Engineer in charge,3017,2370
I No:1-14 / Pg No:14,"Reconnaissance Survey of road alignment in hilly road utilising existing forest cart tracks with use of ghat tracer (if found necessary), taking three dimensions of apexes including verification of type of land etc. complete. (With Chaining) .",Km.,As directed by Engineer in charge,5888,5089
I No:1-15 / Pg No:14,Detailed survey of road in plain country including chaining and levelling with cross sections at every two chains inclusive of closing of survey each day.,Km.,As directed by Engineer in charge,6505,4310
I No:1-16 / Pg No:14,Detailed survey of road length where earthwork is partly done including chaining and levelling with cross sections at every two chains inclusive of closing survey each day.,Km.,As directed by Engineer in charge,6094,3526
I No:1-17 / Pg No:14,"Detailed survey  of road through  hilly country taking cross section at every chains or as required including chaining , levelling and closing survey each day.",Km.,As directed by Engineer in charge,9722,5693
I No:1-18 / Pg No:14,"Detailed survey of road through hilly country taking cross section at every chains as per desired including chaining ,levelling and closing survey each day utilising existing cart track.",Km.,As directed by Engineer in charge,7775,5197
I No:1-19 / Pg No:14,Providing and Fixing Wooden survey pegs including White washing etc. complete.,No.,As directed by Engineer in charge,52,33
I No:1-20 / Pg No:14,Carrying out catchment area traverse survey of minor stream ( not traceable in toposheet ) below 100 acres,Km.,As directed by Engineer in charge,3460,2030
I No:1-21 / Pg No:14,"Cutting down branches of trees , bushes etc. stacking the material neatly as directed ( For Motarable Road)",Km.,As directed by Engineer in charge,8116,8116
I No:1-22 / Pg No:15,"Providing detailed layout plan of area in scale 1:500 including carrying out contour survey & detailed Engineering plane table Survey with the help of 20''. The dolomite area measurement of the plot and structures, trees, over head line and under ground service amenities within the area, with triagular method and giving detailes of the structures, such as total area, type of building & distance from all corners taking trial pit 0.5x0.5x2.00 m.-2Nos. per acre and collection of record from city survey / D.I.L.R. authorities and authentication. The plan shall be traced on 75 micron polyster film and shall be submitted along with three Amonia prints. The contour levels shall be marked at 0.5. Meter intervals. Note:- The items includes- 1)Traversing work with theodolite and steel tape. 2) Levelling Grid Work of the terrain. 3)Detailed Engineering Survey and contouring work of the terrain.    4)Plotting work.    5)Collection of Record.  a) up to 1 Acre",Acre,As directed by Engineer in charge,9076,7389
I No:1-23 / Pg No:15,"Providing detailed layout plan of area in scale 1:500 including carrying out contour survey and detailed Engineering plane table Survey with the help of 24' Alidade. The dolomite area measurement of the plot and structures, trees, over head line and under ground service amenities within the area, with triagular method and giving detailes of the structures, such as total area, type of building and distance from all corners taking trial pit 0.5x0.5x2.00 m.-2Nos. per acre and collection of record from city survey / D.I.L.R. authorities and authentication. The plan shall be traced on 75 micron polyster film and shall be submitted along with three Amonia prints. The contour levels shall be marked at 0.5 Meter intervals. Note:- The items includes- 1)Traversing work with theodolite and steel tape. 2) Levelling Grid Work of the terrain. 3)Detailed Engineering Survey and contouring work of the terrain. 4)Plotting work. 5)Collection of Record. b) Above 1 Acre",Acre,As directed by Engineer in charge,9076,7389
I No:1-24 / Pg No:15,"Reconnaisance survey including study of sheets,maps etc. for alignment including 3 dimension of appexes, fixing pegs,chain and compass or cross staff survey with L-Section and cross section of alignment at every 30 m or at every change of indiviation which ever is less including fly levels at close of days,fixing apex and B.M. stones of size 0.20*0.20*0.75 m  in  1:2:4 C.C. at every 200 m and preparation of alignment plans and all type of compliance if required from department.",Km.,As directed by Engineer in charge,29252,14936
I No:1-25 / Pg No:15,"Preparation of detailed Plans and Estimates Of road including typing in 5 copies, ammonia prints, with colouring of plans, proper filing, indexing and paging etc. complete and all types of compliance, if required from Department.",Km.,As directed by Engineer in charge,16961,15570
I No:1-26 / Pg No:16,"Survey of C.D. works including taking L-section of Road, catchment area plan by Traverse method and taking and trial pits of size 1.00 Mx1.00Mx1.50M including preparation of detailed Plans and Estimates in 5 copies and all types of compliance if required from the Department.",No.,As directed by Engineer in charge,16334,12135
I No:1-27 / Pg No:16,"Survey of Minor bridge including taking L section of existing road and two defined cross sections ,one of U/s and one of D/s, one vergin cross section on alternate proposed cross sections and bed slope of stream upto sufficient long distance as required with chain and compass. Taking three trial pits of size 1.00x1.00x3.0 m and collecting samples of materials at site for ascertaining the silt factor, unit weight test, specific gravity from Govt. approved laboratories( testing charges to be borne by the agency) and preparation of detailed survey data, submission of the project duly typed and colouring of the ammonia prints, site plan and other drawings etc. complete if required from the Department.",No.,As directed by Engineer in charge,61343,36036
I No:1-28 / Pg No:16,"Survey of major bridge including taking L-section of existing road two defined cross -sections (one at U/S and one at D/s) and one vergin cross section on alternate proposed cross sections and bed slope of stream upto sufficient long distance as required with chain and compass.Taking 5 trial pits, three in bed, two on banks of size 2.00x2.00x3.00 m for collecting samples of materials at site for ascertaining the silt factor, unit weight test, specific gravity from Govt. approved laboratories (testing charges to be borne by the agency) and preparation of detailed survey data, submission of the project duly typed and colouring of ammonia prints, site plan and other drawings etc.complete. And all types of compliance if required from Department. (Excluding taking trial bores and contouring)",R.Mt.,As directed by Engineer in charge,1890,1172
I No:1-29 / Pg No:16,This Item is DELETED --Contour Survey of stream U/S and D/S of proposed bridge site including levelling  at every 30 X 30 m preparing contour map with Autocad prints etc.complete in 5 sets.,Sq.Km.,As directed by Engineer in charge,0,0
I No:1-30 / Pg No:16,"Survey of raised Causeway including reconnaissance taking L section of existing road one defined one vergin one alternate proposed cross section and stream upto sufficient lengths with chain and compass taking two trial pits of size 2.00x2.00x3.00m.collecting samples at site ascertaining silt factor and preparation of detailed survey data,submission of the project duly typed colouring of the ammonia prints,site plan and other drawing etc.complete if required from Deparetment.",No.,As directed by Engineer in charge,41465,24670
I No:1-31 / Pg No:16,Preparation of detailed plans and estimates of Raise Causewayon the basis of the approved detailed survey data by competent authority including typing in 5 copies ammonia prints site plan other drawings with colouring of plans proper filling indexing and paging etc.complete and all types of compliance if required from Department.,No.,As directed by Engineer in charge,10461,9257
I No:1-32 / Pg No:17,Complete survey of stream having catchment area upto 1 sq. mile including catchment survey taking necessary L.S./C.S. and other details etc. complete.,No.,As directed by Engineer in charge,8866,4680
I No:1-33 / Pg No:17,Complete survey of stream having catchment area above 1 sq. Mile and upto 5 sq. Miles including taking necessary L.S./C.S. and other details etc. complete.,No.,As directed by Engineer in charge,18724,13079
I No:1-34 / Pg No:17,Reconnaissance survey of alignment in plain country for approaches to the bridge including taking three dimensions of apexes. ( Without chaining ),Km.,As directed by Engineer in charge,2255,1791
I No:1-35 / Pg No:17,Fly levelling for carrying out bench mark.,Km.,As directed by Engineer in charge,1812,1217
I No:1-36 / Pg No:17,Detailed survey of approaches including Chain and Compass survey along bridge alignment  and approaches including closing each day work.,Km.,As directed by Engineer in charge,4663,3273
I No:1-37 / Pg No:17,"Taking longitudinal section of streams extending upstream and downstream side of the  bridge site, requisite number of cross section of the stream on either sides block contouring and other details etc. complete. ( Length of L.S. and C.S. for contouring to be worked out )",Km.,As directed by Engineer in charge,5655,4265
I No:1-38 / Pg No:17,Demarcation of right of way (ROW) as per design using total station including calculation of co-ordinates of 30 Meter interval on both sides of road.,Km.,As directed by Engineer in charge,9877,5318
I No:1-39 / Pg No:17,"Preparation of Land Acquisition proposal  including collection of 7/12 and 8/A documents marking alignment and village maps , area calculation, preparation of proposal, printing,binding, etc. complete and submission of 5  sets more ever liasoning  and coordination with revenue authorities with compliance if any until finalisation of award including  Joint measurement of the alignment.  For new alignment.",Km.,As directed by Engineer in charge,27486,15507
I No:1-40 / Pg No:17,"Preparation of Land Acquisition proposal  including collection of 7/12 and 8/A documents marking alignment and village maps , area calculation, preparation of proposal, printing,bindind, etc. complete and submission of 5  sets more ever liasoning  and coordination with revenue authorities with compliance if any until finalisation of award including  Joint measurement of the alignment.  For existing alignment.",Km.,As directed by Engineer in charge,20343,10760
I No:1-41 / Pg No:17,"Carrying of detailed topographic survey by using total station along the existing or new road including taking L-section and cross section at every 30 meter ROW ,taking at least 10 spot levels per cross section, picking up all existing details inside the Row like electric telephone line , encroachments, structures etc. connecting all the primary total station control points by G.I.S.Bench marks level or whichever available with department using auto level and preparing Auto CAD plan by using above data taking out 1 set of black and white printout on 50 micron polyster film sheet A2 size and 2 sets of coloured printout on A2 size submitting soft copy all data on CD. Plain Terrain New Alignment",Km.,As directed by Engineer in charge,46615,22965
I No:1-42 / Pg No:18,"Carrying of detailed topographic survey by using total station along the existing or new road including taking L-section and cross section at every 30 meter ROW ,taking at least 10 spot levels per cross section, picking up all existing details inside the Row like electric telephone line , encroachments, structures etc. connecting all the primary total station control points by G.I.S.Bench marks level or whichever available with department using auto level and preparing Auto CAD plan by using above data taking out 1 set of black and white printout on 50 micron polyster film sheet A2 size and 2 sets of coloured printout on A2 size submitting soft copy all data on CD. Plain Terrain Existing Alignment.",Km.,As directed by Engineer in charge,43301,19410
I No:1-43 / Pg No:18,"Carrying of detailed topographic survey by using total station along the existing or new road including taking L-section and cross section at every 30 meter ROW ,taking at least 10 spot levels per cross section, picking up all existing details inside the Row like electric telephone line , encroachments, structures etc. connecting all the primary total station control points by G.I.S.Bench marks level or whichever available with department using auto level and preparing Auto CAD plan by using above data taking out 1 set of black and white printout on 50 micron polyster film sheet A2 size and 2 sets of coloured printout on A2 size submitting soft copy all data on CD. Hilly Terrain New Alignment",Km.,As directed by Engineer in charge,59200,30221
I No:1-44 / Pg No:18,Demarcation of Road boundry (ROW) including fixing the boundry stones at standard size  and shape including fixing in block of standard size of C.C. of 1:4:8 white washing at 30 M interval on both sides,Km.,As directed by Engineer in charge,41261,10987
I No:1-45 / Pg No:18,"Taking trial bores 75 to 100 mm for 53.0 to 88.9 mm core dia over burden ( by diamond drilling machine ) such as soil of all sorts, soft murum,hard murum and boulders and in soft rock including all materials such as casing pipes and accessories oil, grease, steel, rods, and such other materials as required (including conveying the material to site of work) . Preserving the loose sample in glass jar and core sample serially on site of work and conveying the same to HQ of concernring office as directed. a) over burden 0 to 50 meter.",R.Mt.,As directed by Engineer in charge,2110,447
I No:1-46 / Pg No:18,"Taking trial bores 75 to 100 mm for 53.0 to 88.9 mm core dia in rocks as specified below including all necessary materials such as oil,grease,steel boostan and such other materials as required (including conveying the material to site of work) and Preserving the core  sample core sample serially on site of work and conveying the same to HQ of concernring office as directed.  Quartzite with diamond drill with Nx Bit 0 to 50 metre",R.Mt.,As directed by Engineer in charge,6814,522
I No:1-47 / Pg No:19,"Taking trial bores 75 to 100 mm for 53.0 to 88.9 mm core dia in rocks as specified below including all necessary materials such as oil,grease,steel boostan and such other materials as required (including conveying the material to site of work) and Preserving the core  sample core sample serially on site of work and conveying the same to HQ of concernring office as directed. Quartzite with diamond drill with Ax Bit  0 to 50 metre",R.Mt.,As directed by Engineer in charge,4133,745
I No:1-48 / Pg No:19,"Taking trial bores 75 to 100 mm for 53.0 to 88.9 mm core dia in rocks as specified below including all necessary materials such as oil,grease,steel boostan and such other materials as required (including conveying the material to site of work) and Preserving the core  sample core sample serially on site of work and conveying the same to HQ of concernring office as directed.   Other Rock  with diamond drill. 0 to 50 metre",R.Mt.,As directed by Engineer in charge,3910,522
I No:1-49 / Pg No:19,Providing tun tappa core boxes of jungle  wood of size1.25mx 0.35x 0.15m  for preserving  core sample  with  all fixtures and  fastening  handles including  locking arrangment etc . complete.,No.,As directed by Engineer in charge,5665,1760
I No:1-50 / Pg No:19,Providing and maintaining temparory platform of bore location in river bed in upto 1M of standing water of size 3.50 x 4.00 M by using sand bags in layer for platform including all  required materials labours etc. complete.,No.,As directed by Engineer in charge,13882,7372
I No:1-51 / Pg No:19,Providing and maintaining temporary platform for erecting boring machined in river bed to the depth of standing water 1M to 2M of size 3.50 x 4.00 M by using 20 Nos. of M.S. empty barrels in M.S. frame made upto M.S. angle size 50 x 50 x 5 mm with fabrication and over it a jungle wood planks platform of size 3.50 x 4.00 x 0.03 M size including supplying of nylon rope 24 mm size for anchoring platform include passage platform and enganging a labour etc. complete.  1 M to 2 M.,No.,As directed by Engineer in charge,21267,7372
I No:1-52 / Pg No:19,Providing and maintaining temparory platform for erecting boring machined in river bed to the depth of standing water 2 m and above and of size 3.50 x 4.00 M by using 20 Nos. of M.S. empty barrels in M.S. frame made of M.S. angle size 50 x 50 x 5 mm with fabrication and over it a jungle wood planks platform of size 3.50 x 4.00 x 0.03 M size including supplying of nylon rope 24 mm dia. for anchoring platform include passage platform and enganging a labour etc. complete. 2 m and Above.,No.,As directed by Engineer in charge,21810,7372
I No:1-53 / Pg No:19,Providing and maintaining temparory platform for inspection from one bank to another bank of bore location in river bed in all depth of standing water of size 1.30 x 2.00 M by using 4 Nos. of M.S. empty barrels in M.S. frame made up of  M.S. angle size 50 x 50 x 5 mm with fabrication and over it a jungle wood planks platform of size 1.30 x 2.00 x 0.03 M size including supplying of nylon rope 24 mm size and 300 M length of movement of platform enganging a labour on inspection days etc. complete.,No.,As directed by Engineer in charge,20033,11093
I No:1-54 / Pg No:20,Conveying the boring machine and engine and all its accessories etc. to the site of the work and back including loading unloading etc. complete. Rate mechanical ( Note - Distance to be measured from the station of boring machine engine etc. of district head quarters to site of the work by short route ).,Km.,As directed by Engineer in charge,68,15
I No:1-55 / Pg No:20,Shifting boring plant with all its components and reinstalling the same at the directed place including all its charges etc. complete.,Shift,As directed by Engineer in charge,9067,8411
I No:1-56 / Pg No:20,"Providing detailed reports of the inspection logging of drilled hole by observing visual description of data as per depth, thickness of layer, type of sample, wash sample, bore recovery type of drill etc. complete.",No.,As directed by Engineer in charge,9680,0
I No:1-57 / Pg No:20,"Providing detailed geological reports of proposed site by maintaining geotechnical investigation of structure stratification collecting soil, rock and ground water samples for laboratory tests to arrive the foundation design parameters . Rock properties such as type of rock, jointing fractures, etc. complete with suggestion about the site foundation and remedies.",Report,As directed by Engineer in charge,38720,0
I No:1-58 / Pg No:20,"Preparing land plans and land schedule including carrying out plane table survey for Private / Forest land on both side of road in Rural and Urban areas. The work of plotting and certificate from T.I.L.R. or other authorities shall be obtained from correctness of prepared plans. Tracing ang taking out prints and preparing the requisite booklets duly bounds and printing with all materials etc. Three land plan booklets along with original tracing shall be supplied including procurement of village maps / forest land plans from concern authorities.Note : The item plane table includes following points 1 ) Carrying out plane table survey. 2) Plotting of duly surveyed area . 3) Collection of data  from  D.I.L.R. authorities  and verification of survey maps by D.I.L.R. authorities . 4) Preparing three booklets of survey maps including taking out prints of survey maps, binding etc. 5) Carrying out plane table survey of the Private / Forest land along the road upto 30 meters on either side from the road centre.",Km.,As directed by Engineer in charge,42184,15312
I No:1-59 / Pg No:20,Geometrical design of road horizontal and vertical curves at design speed specified by IRC including carrying out trail for optimising of civil cost minimising land acquisition and maximum use of existing facility and preparation of widening arrangement drawing for insisting structures stake out date for horizontal alignment and working levels including super elevation effect etc. complete.,Km.,As directed by Engineer in charge,12738,4461
I No:1-60 / Pg No:20,Transfering and taking out design on coordinates of baseline on ground using nails for exsisting road surfaces and survey pegs for new alignments including taking out coordinates for horizontal curves at  required interval of 50 meters  etc. complete. ( Extra  line  such as right of way median edges to toe line not included).,Km.,As directed by Engineer in charge,13115,7111
I No:1-61 / Pg No:21,"Preparation of roadway, drawing (Plan And Profile ) on computerising Autocad at required scale showing all topo feature and proposed construction details such as carriage way , median service road, toe line, retaining walls, cross drainage works, major structures, etc. complete. Including indexing, level tables, legend, basic information of project and design details etc.",Km.,As directed by Engineer in charge,11201,8364
I No:1-62 / Pg No:21,"Preparation of Engineering drawing as strip plan, widening scheme, index / key map, typical cross section, retaining walls, road furniture, general arrangement drawings for bus bays / truck lay-bays / rest areas / toll plaza / booths / and type drawing of pipe/ slab drains etc. on computer using Auto CAD.",Km.,As directed by Engineer in charge,9982,7145
I No:1-63 / Pg No:21,"Survey of C.D. works including taking L-Section of road, catchment area plan by Traverse method and taking trial pits of size 1.50M x 1.50M x 1.50M including preparation of detailed plans and estimates in 5 copies and all types of compliance if required from the department.",No.,As directed by Engineer in charge,10047,7366
I No:1-64 / Pg No:21,"Design of junctions including detail layout of traffic signs, informatory boards traffic islands. Breaks in median verge including working levels at junctions as per IRC standards etc. complete. a) Major Junction",Km.,As directed by Engineer in charge,29951,20102
I No:1-65 / Pg No:21,"Design of junctions including detail layout of traffic signs, informatory boards traffic islands. Breaks in median verge including working levels at junctions as per IRC standards etc. complete. b) Minor Junction",Km.,As directed by Engineer in charge,16939,9767
I No:1-66 / Pg No:21,Preparaion of initial design of flyovers with preparing General Arrangement drawing with dimensions  etc. complete and preparation of rough estimate for all components of bridge. Including supplying four copies of coloured drawings and copy of drawing on C.D. ( excluding geotechnical and structural design part.),Km.,As directed by Engineer in charge,881,151
I No:1-67 / Pg No:21,"Preparation of draft / Final Report comprising of technical, financial economic feasibility and environmental aspects of the project including executive summary and detailed chapters on necessity and introduction of project existing and future traffic, design philosophy scope of work, summary of available cost estimates justification for rates adopted, key points of execution, salient features of the project, location of toll plaza, toll rate / policy to be adopted and specification of major construction items etc. in 8 copies having attractive cover and binding s directed by engineer in charge etc. complete.",Km.,As directed by Engineer in charge,293450,217946
I No:1-68 / Pg No:21,Preparation of Autocad drawing with colour print for Building / Bridge / Road/ CD Works in required size etc. complete. - A-0 Size,No.,As directed by Engineer in charge,9895,9169
I No:1-69 / Pg No:21,Preparation of Autocad drawing with colour print for Building / Bridge / Road/ CD Works in required size etc. complete. A-1 Size,No.,As directed by Engineer in charge,6097,5613
I No:1-70 / Pg No:22,Preparation of Autocad drawing with colour print for Building / Bridge / Road/ CD Works in required size etc. complete. A-2 Size,No.,As directed by Engineer in charge,4668,4305
I No:1-71 / Pg No:22,Autocad drawing with colour print out for  Building / Bridge / Road/ CD Works in required size etc. complete. A-0 Size,No.,As directed by Engineer in charge,146,0
I No:1-72 / Pg No:22,Autocad drawing with colour print out for  Building / Bridge / Road/ CD Works in required size etc. complete. A-1 Size,No.,As directed by Engineer in charge,97,0
I No:1-73 / Pg No:22,Autocad drawing with colour print out for  Building / Bridge / Road/ CD Works in required size etc. complete. A-2 Size,No.,As directed by Engineer in charge,73,0
I No:1-74 / Pg No:22,Autocad drawing with colour print out for  Building / Bridge / Road/ CD Works in required size etc. complete. A-3 Size,No.,As directed by Engineer in charge,19,0
I No:1-75 / Pg No:22,Autocad drawing with colour print out for  Building / Bridge / Road/ CD Works in required size etc. complete. A-4 Size,No.,As directed by Engineer in charge,13,0
I No:1-76 / Pg No:22,"Deploying Automated Traffic Count & classification system on Road ( Two Lane) in both direction at designated traffic count post by using High Definition Cameras..Collecting the Non Editable Data In DVR System with necessary electronic and electrical arrangements or inventor of required capacity Classification of data as per vehicle category as required with the help of software and submitting the the reports to the concerned department in hard copies as well as in soft copy, including using necessary technical manpower etc. complete. A) Up to 7 Days  (Two Lane)",Day,As directed by Engineer in charge,34487,15153
I No:1-77 / Pg No:22,"Deploying Automated Traffic Count & classification system on Road ( One Lane) in both direction at designated traffic count post by using High Definition Cameras..Collecting the Non Editable Data In DVR System with necessary electronic and electrical arrangements or inventor of required capacity Classification of data as per vehicle category as required with the help of software and submitting the the reports to the concerned department in hard copies as well as in soft copy, including using necessary technical manpower etc. complete. B) Extra charges for every additional lane (If required)",Day,As directed by Engineer in charge,26955,13505
I No:1-78 / Pg No:22,"Providing of Jeep/vehicle for conveying surey material, Engineers,
labours etc. complete",Day,As directed by Engineer in charge,3630,0
I No:2-01 / Pg No:23,Cutting down trees including trunks and branches with girths above 30cm to 60cm and stacking the materials neatly with all lifts and lead of 1000m as directed and earth filling in the depression / pit if any.,No.,MORTH 201,511,463
I No:2-02 / Pg No:23,Cutting down trees including trunks and branches with girths above 60cm to 90cm and stacking the materials neatly with all lifts and lead of 1000m. as directed and earth filling in the depression/pit if any.,No.,MORTH 201,847,703
I No:2-03 / Pg No:23,Cutting down trees including trunks and branches with girths above 90cm to 180cm and stacking the materials neatly with all lifts and lead of 1000m. as directed and earth filling in the depression/pit if any.,No.,MORTH 201,1746,1554
I No:2-04 / Pg No:23,Cutting down trees including trunks and branches with girths above 180cm to 270cm and stacking the materials neatly with all lifts and lead of 1000m. as directed and earth filling in the depression/pit if any.,No.,MORTH 201,2992,2703
I No:2-05 / Pg No:23,Cutting down trees including trunks and branches with girths above 270cm to 450cm and stacking the materials neatly with all lifts and lead of 1000m. as directed and earth filling in the depression/pit if any.,No.,MORTH 201,3094,2914
I No:2-06 / Pg No:23,Cutting down trees including trunks and branches with girths above 450cm and stacking the materials neatly with all lifts and lead of 1000m. as directed and earth filling in the depression/pit if any.,No.,MORTH 201,3387,3190
I No:2-07 / Pg No:23,Clearing grass and removal of rubbish up to a distance of 50 metres outside the periphery of the area .,Sq.Mt.,MORTH 201,4,4
I No:2-08 / Pg No:23,"This Item is DELETED --Clearing and grubbing road land including uprooting rank vegetation, grass, bushes, shrubs, saplings and trees girth up to 300 mm, removal of stumps of trees cut earlier and disposal of unserviceable materials and stacking of serviceable material to be used or auctioned up to a lead of 1000 metres including removal and disposal of top organic soil not exceeding 150 mm in thickness.",Sq.Mt.,MORTH 201,0,0
I No:2-09 / Pg No:23,"Clearing and grubbing road land including uprooting rank vegetation, grass, bushes, shrubs, saplings and trees girth up to 300 mm, removal of stumps of trees cut earlier and disposal of unserviceable materials and stacking of serviceable material to be used or auctioned up to a lead of 1000 metres including removal and disposal of top organic soil not exceeding 150 mm in thickness.",Sq.Mt.,MORTH 201,12,12
I No:2-10 / Pg No:23,"Excavation for roadway in earth, soil of all sorts, sand, gravel or soft murum including dressing section to the required grade, camber and side slopes and conveying the excavated materials with all lifts upto a lead of 50m. And spreading for embankment or stacking as directed. By Manual Means",Cu.Mt.,MORTH 301,300,300
I No:2-11 / Pg No:24,"Excavation for roadway in earth, soil of all sorts, sand, gravel or soft murum including dressing section to the required grade, camber and side slopes and conveying the excavated materials with all lifts upto a lead of 50m. and spreading for embankment or stacking as directed.",Cu.Mt.,MORTH 301,119,7
I No:2-12 / Pg No:24,"This Item is DELETED --Excavation for roadway in hard murum including dressing section to the required grade, camber and side slopes and conveying the excavated materials with all lifts upto a lead of 50m.and spreading for embankment or stacking as directed. By Manual Means",Cu.Mt.,MORTH 301,0,0
I No:2-13 / Pg No:24,"Excavation for roadway in hard murum including dressing section to the required grade, camber and side slopes and conveying the excavated materials with all lifts upto a lead of 50m.and spreading for embankment or stacking as directed.",Cu.Mt.,MORTH 301,139,7
I No:2-14 / Pg No:24,"Excavation for roadway in soft rock, including dressing section to the required grade, camber and side slopes and conveying the excavated materials with all lifts upto a lead of 50m. and spreading or stacking as directed.",Cu.Mt.,MORTH 301,177,22
